,country,gdp_cap,gdp_cap_year,population,population_year,old_population,old_population_year,physicians,physicians_year,hosp_beds,hosp_beds_year,health_exp,health_exp_year,health_workers,health_workers_year,ppl_per_hosp_bed,ppl_per_physician,tot_hosp_beds,continent
0,Afghanistan,520.896602719135,2018,37172386.0,2018,2.58492693988024,2018,0.284,2016,0.5,2015,57.24876048,2016,,,2000.0,3521.1267605633807,18586193.0,Asia
1,Albania,5268.84850355919,2018,2866376.0,2018,13.7447359109736,2018,1.1998,2016,2.9,2013,271.54304258,2016,,,344.82758620689657,833.472245374229,8312490.399999999,Europe
2,United Arab Emirates,43004.9533584848,2018,9630959.0,2018,1.0850009848448101,2018,2.3944,2016,1.2,2013,1323.11680312,2016,,,833.3333333333334,417.64116271299696,11557150.799999999,Asia
3,Argentina,11683.949621636299,2018,44494502.0,2018,11.1177888760774,2018,3.96,2017,5.0,2014,955.2009489,2016,,,200.0,252.52525252525254,222472510.0,South America
4,Armenia,4212.0709427293705,2018,2951776.0,2018,11.2538176570131,2018,2.8989999999999996,2014,4.2,2015,358.84174796,2016,,,238.09523809523807,344.9465332873405,12397459.200000001,Europe
5,Antigua and Barbuda,16726.9808079479,2018,96286.0,2018,8.79982551980558,2018,2.7647,2017,3.8,2014,623.11462593,2016,,,263.15789473684214,361.7028972402069,365886.8,North America
6,Australia,57373.68668412809,2018,24992369.0,2018,15.656475227559099,2018,3.5874,2016,3.8,2014,5002.35827732,2016,,,263.15789473684214,278.7534147293304,94971002.2,Oceania
7,Austria,51461.9547804677,2018,8847037.0,2018,19.0015664595899,2018,5.1441,2016,7.6,2013,4688.28020378,2016,,,131.57894736842107,194.39746505705565,67237481.2,Europe
8,Azerbaijan,4721.17808673142,2018,9942334.0,2018,6.195182750714929,2018,3.4466,2014,4.7,2013,268.15586521,2016,,,212.7659574468085,290.14100853014565,46728969.800000004,Europe
9,Burundi,271.752044376648,2018,11175378.0,2018,2.24694046033717,2018,0.05,2016,0.8,2014,18.46188216,2016,,,1250.0,20000.0,8940302.4,Africa
10,Belgium,47518.636038891396,2018,11422068.0,2018,18.7887437383395,2018,3.3234,2016,6.2,2014,4149.38532224,2016,,,161.29032258064515,300.8966720828068,70816821.60000001,Europe
11,Benin,901.5438712063569,2018,11485048.0,2018,3.25360529746338,2018,0.1572,2016,0.5,2010,30.40151289,2016,,,2000.0,6361.323155216285,5742524.0,Africa
12,Burkina Faso,715.12290404614,2018,19751535.0,2018,2.4069808286635497,2018,0.06,2016,0.4,2010,40.94095568,2016,0.127,2012,2500.0,16666.666666666668,7900614.0,Africa
13,Bangladesh,1698.26280233547,2018,161356039.0,2018,5.15839063962068,2018,0.5268,2017,0.8,2015,34.21796766,2016,0.47600000000000003,2012,1250.0,1898.2536066818525,129084831.2,Asia
14,Bulgaria,9272.62930360848,2018,7024216.0,2018,21.021914434268,2018,3.9879,2014,6.8,2013,612.47858555,2016,,,147.05882352941177,250.75854459740717,47764668.8,Europe
15,Bahrain,24050.7575053956,2018,1569439.0,2018,2.42633387832394,2018,0.9257,2015,2.0,2014,1099.36229078,2016,,,500.0,1080.2635843145729,3138878.0,Asia
16,"Bahamas, The",32217.871590084,2018,385640.0,2018,7.25760235662035,2018,1.9373,2017,2.9,2013,1835.22820219,2016,,,344.82758620689657,516.1823155938678,1118356.0,North America
17,Bosnia and Herzegovina,6065.67270824158,2018,3323929.0,2018,16.4703174710621,2018,2.0003,2013,3.5,2013,443.78378047,2016,,,285.7142857142857,499.9250112483127,11633751.5,Europe
18,Belarus,6289.93855308212,2018,9485386.0,2018,14.8451481743098,2018,4.0772,2014,11.0,2013,317.99419058,2016,,,90.9090909090909,245.26635926616302,104339246.0,Europe
19,Belize,4884.74242133376,2018,383071.0,2018,4.736458776571441,2018,1.1262,2017,1.3,2014,303.60483768,2016,,,769.2307692307692,887.941751021133,497992.3,North America
20,Bolivia,3548.5901397933794,2018,11353142.0,2018,7.19194739218447,2018,1.6111,2016,1.1,2014,213.01732534,2016,,,909.090909090909,620.693935820247,12488456.200000001,South America
21,Brazil,8920.76210462979,2018,209469333.0,2018,8.92283783244003,2018,2.1499,2018,2.2,2014,1015.93444765,2016,,,454.5454545454545,465.1379133913205,460832532.6,South America
22,Barbados,17949.2815054371,2018,286641.0,2018,15.802693962133802,2018,2.4886,2017,5.8,2014,1163.84456087,2016,,,172.41379310344828,401.8323555412682,1662517.8,North America
23,Brunei Darussalam,31628.328791434902,2018,428962.0,2018,4.8731475675058205,2018,1.7701,2015,2.7,2015,630.6293586,2016,,,370.3703703703703,564.9398339076888,1158197.4000000001,Asia
24,Bhutan,3243.23112508014,2018,754394.0,2018,6.003011712805611,2018,0.3715,2017,1.7,2012,91.33533448,2016,0.069,2016,588.2352941176471,2691.790040376851,1282469.8,Asia
25,Botswana,8258.641665746909,2018,2254126.0,2018,4.22387434629301,2018,0.3688,2016,1.8,2010,379.9230078,2016,,,555.5555555555555,2711.4967462039044,4057426.8000000003,Africa
26,Central African Republic,475.721250544318,2018,4666377.0,2018,2.82577370666008,2018,0.0629,2015,1.0,2011,16.36043526,2016,,,1000.0,15898.25119236884,4666377.0,Africa
27,Canada,46232.989622696696,2018,37058856.0,2018,17.232006678865098,2018,2.6102,2017,2.7,2012,4458.21499934,2016,,,370.3703703703703,383.11240517967974,100058911.2,North America
